tconst,averagerating,numvotes
tt10384744,7.2,14840
tt10404664,7,2413
tt10404698,5.7,3564
tt10404944,6.9,15503
tt10405142,6.1,4892
tt10405220,7,3382
tt10405370,8.2,36083
tt10405394,8.1,2204
tt10406128,8.1,3941
tt10406410,6.4,1401
tt10406596,5.8,6943
tt10407272,6.6,5988
tt10409498,7.1,9126
tt10409590,6.4,1100
tt10410506,6.3,1208
tt10411158,5.9,5708
tt10413566,5.7,4944
tt10413648,6.9,1839
tt10415494,5.6,1376
tt10415600,6.9,1391
tt10417586,7.2,1188
tt10417836,7.4,2247
tt1041804,4.1,4496
tt10418630,7,2262
tt10418662,4.9,28597
tt10419266,7.4,1315
tt10420532,7.1,3543
tt10422658,8.8,3349
tt10487722,7.3,1153
tt10488234,6.1,1611
tt10489780,7.6,2384
tt10492998,6.7,4246
tt10493490,6.8,1682
tt1049402,6.6,13653
tt10495314,5.6,1066
tt10495746,7.8,2138
tt10497826,6.1,1572
tt10498322,6.8,1610
tt10498588,6.6,2971
tt10498810,2.4,1387
tt10503736,3.8,1107
tt10503934,7.1,1300
tt10503988,4.4,1331
tt10504904,3.5,1517
tt10504966,6.2,1261
tt10505002,6.9,1632
tt10505316,7.4,7519
tt10505762,6.5,1526
tt10505918,6.2,13873
tt10506510,7.1,1268
tt10521092,7.1,40774
tt10521144,5.8,11423
tt10521814,6.5,4292
tt10523424,4.1,1436
tt10524262,7,2563
tt10525672,7.1,8720
tt10528948,4.5,1459
tt10530176,7.1,51892
tt10530286,6.1,1739
tt10530838,6.3,2262
tt10530900,9.1,29937
tt10532840,7.3,3418
tt10533570,5.7,1041
tt1053424,6.3,113791
tt10534500,8.7,19403
tt10534996,7.4,2320
tt10535076,7.1,3723
tt10537660,5,2057
tt10537978,4.6,1093
tt1053810,6.2,50537
tt10539608,5.7,93499
tt10540024,6.9,1037
tt10540242,4.8,2920
tt10540276,7.6,13984
tt10540338,8.3,1564
tt10540510,7.1,3115
tt10540562,6.6,1326
tt10557524,3.7,1002
tt10559102,4.4,3997
tt10559276,8.2,2316
tt10562574,7.7,5974
tt10563420,5.7,3220
tt10566928,7.4,1010
tt10569922,4.1,4630
tt10569934,6.7,22100
tt10570206,6,1330
tt10571920,6.3,1632
tt10574236,7.5,41684
tt10574558,7.7,166216
tt10610752,8.3,1014
tt10610838,7.4,1484
tt10611372,7.1,3330
tt10611608,7.4,11539
tt10611992,4.3,1188
tt10612922,7.1,35694
tt10613002,6,1332
tt10613844,7.8,10118
tt10613992,6.9,1992
tt10614122,6.9,1342
tt10617192,6.8,1330
tt10618286,6.8,103565
tt10619486,5.8,1624
tt10620868,6.3,54045
tt10621032,6.9,4233
tt10622410,6.9,1413
tt10622790,6.3,2600
tt10622972,7.4,3042
tt10623524,7.5,3245
tt10623550,5.8,1687
tt10623646,7.3,12969
tt10625492,7.2,10696
tt10625812,6.9,1675
tt10627334,6,1144
tt10627352,5.7,2213
tt10627548,5.2,3315
tt10627564,6.1,1615
tt10627584,6.8,16310
tt10627720,7.3,21561
tt10628092,6.8,5639
tt10669608,7.4,3333
tt10669888,5.3,2533
tt10670442,6.6,1563
tt10671282,6.2,1326
tt10671436,7.2,2073
tt10674930,2.6,1180
tt10675136,5.1,7644
tt10675392,6.8,1292
tt10675724,5.3,8570
tt1067583,6.9,123652
tt10675966,5.5,2281
tt10676012,6.3,38733
tt10676048,5.5,160890
tt10676052,6.8,241462
tt10677432,6.7,1707
tt1067765,6.1,19211
tt1067773,4.8,2972
tt1067774,5.8,51943
tt10680606,9.4,4088
tt10680614,6.9,17658
tt10680838,5.2,1059
tt10681070,7.6,1181
tt10681222,7.7,7593
tt10681240,7.1,1050
tt10681614,5.9,2255
tt10681670,6.7,1215
tt10681780,6.2,2621
tt10682186,6.1,1345
tt10682266,5.3,67453
tt10682414,7.3,1046
tt1068242,5.9,55138
tt10684374,7.5,2342
tt10703978,4.7,2302
tt10706602,8.1,14173
tt1070874,7.7,203908
tt10709048,7.1,1386
tt10709058,7.2,1398
tt10709062,6.6,1099
tt10709114,8.5,2787
tt10709232,6.3,2875
tt10709404,6,2044
tt10709484,6.8,12786
tt10709628,9.2,2318
tt10709742,3.8,1100
tt10710246,8,6094
tt10711648,7,4845
tt10712928,5.7,1616
tt10713340,5.3,3291
tt10714640,6.1,3702
tt10714778,6.6,1940
tt10714820,7.5,1458
tt10714856,6.3,14984
tt10715148,6.4,4256
tt10715172,7.2,2131
